Name,Rating,Review Count,location,Address,Phone
Lou's Cafe,4.5,1845,"{'address1': '5017 Geary Blvd', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['5017 Geary Blvd', 'San Francisco, CA 94118']}","5017 Geary Blvd, San Francisco, CA 94118",+14153794429
World Wrapps,4.5,159,"{'address1': '2105 Chestnut St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94123', 'country': 'US', 'state': 'CA', 'display_address': ['2105 Chestnut St', 'San Francisco, CA 94123']}","2105 Chestnut St, San Francisco, CA 94123",+14156545313
Rooster & Rice,4.5,512,"{'address1': '2211 Filbert St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94123', 'country': 'US', 'state': 'CA', 'display_address': ['2211 Filbert St', 'San Francisco, CA 94123']}","2211 Filbert St, San Francisco, CA 94123",+14157763647
Casa Barajas,4.5,162,"{'address1': '1849 Lincoln Way', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1849 Lincoln Way', 'San Francisco, CA 94122']}","1849 Lincoln Way, San Francisco, CA 94122",+14152429931
Sunset Cantina,4.5,340,"{'address1': '3414 Judah St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['3414 Judah St', 'San Francisco, CA 94122']}","3414 Judah St, San Francisco, CA 94122",+14155718874
Submarine Center,4.5,1475,"{'address1': '820 Ulloa St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94127', 'country': 'US', 'state': 'CA', 'display_address': ['820 Ulloa St', 'San Francisco, CA 94127']}","820 Ulloa St, San Francisco, CA 94127",+14155641455
Irving Subs,4.5,468,"{'address1': '1298 12th Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1298 12th Ave', 'San Francisco, CA 94122']}","1298 12th Ave, San Francisco, CA 94122",+14155663155
Gyros And Tzatziki,4.5,84,"{'address1': '3111 24th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3111 24th St', 'San Francisco, CA 94110']}","3111 24th St, San Francisco, CA 94110",+14154004962
opa cafe,4.5,510,"{'address1': '2401 Post St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['2401 Post St', 'San Francisco, CA 94115']}","2401 Post St, San Francisco, CA 94115",+14159137745
Ganim's Market,4.5,305,"{'address1': '1135 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['1135 18th St', 'San Francisco, CA 94107']}","1135 18th St, San Francisco, CA 94107",+14152829289
Native Burger,4.5,321,"{'address1': '3420 Geary Blvd', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['3420 Geary Blvd', 'San Francisco, CA 94118']}","3420 Geary Blvd, San Francisco, CA 94118",+14156824197
Pizzetta 211,4.5,1468,"{'address1': '211 23rd Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94121', 'country': 'US', 'state': 'CA', 'display_address': ['211 23rd Ave', 'San Francisco, CA 94121']}","211 23rd Ave, San Francisco, CA 94121",+14153799880
DragonEats,4.5,507,"{'address1': '520 Gough St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['520 Gough St', 'San Francisco, CA 94102']}","520 Gough St, San Francisco, CA 94102",+14157951469
Square Pie Guys,4.5,791,"{'address1': '1077 Mission St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['1077 Mission St', 'San Francisco, CA 94103']}","1077 Mission St, San Francisco, CA 94103",+14158729290
Good Gai's,4.5,53,"{'address1': '2723 Oakdale Ave', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94124', 'country': 'US', 'state': 'CA', 'display_address': ['2723 Oakdale Ave', 'San Francisco, CA 94124']}","2723 Oakdale Ave, San Francisco, CA 94124",+14157963906
Tanguito,4.5,654,"{'address1': '2850 Jones St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['2850 Jones St', 'San Francisco, CA 94133']}","2850 Jones St, San Francisco, CA 94133",+14155774223
Garaje,4.5,1725,"{'address1': '475 3rd St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['475 3rd St', 'San Francisco, CA 94107']}","475 3rd St, San Francisco, CA 94107",+14156440838
Matko,4.5,37,"{'address1': '1355 Market St', 'address2': '', 'address3': 'The Market Square', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['1355 Market St', 'The Market Square', 'San Francisco, CA 94103']}","1355 Market St, The Market Square, San Francisco, CA 94103",+14152095302
Chez Maman East,4.5,2362,"{'address1': '1401 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['1401 18th St', 'San Francisco, CA 94107']}","1401 18th St, San Francisco, CA 94107",+14156559542
Hungry Hub,4.5,5,"{'address1': '1661 Tennessee St', 'address2': 'Unit 2 J , Floor 2', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['1661 Tennessee St', 'Unit 2 J , Floor 2', 'San Francisco, CA 94107']}","1661 Tennessee St, Unit 2 J , Floor 2, San Francisco, CA 94107",+19256665998
Pacific Plaza Cafe,4.5,166,"{'address1': '1338 Franklin St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['1338 Franklin St', 'San Francisco, CA 94109']}","1338 Franklin St, San Francisco, CA 94109",+14159288999
Sababa,4.5,403,"{'address1': '329 Kearny St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['329 Kearny St', 'San Francisco, CA 94108']}","329 Kearny St, San Francisco, CA 94108",+14158006853
Eat Americana,4.5,339,"{'address1': '3532 Balboa St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94121', 'country': 'US', 'state': 'CA', 'display_address': ['3532 Balboa St', 'San Francisco, CA 94121']}","3532 Balboa St, San Francisco, CA 94121",+14153872893
Hayes Pizza,4.5,213,"{'address1': '2077 Hayes St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['2077 Hayes St', 'San Francisco, CA 94117']}","2077 Hayes St, San Francisco, CA 94117",+14157425234
TJ Cafe,4.5,213,"{'address1': '724 La Playa St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94121', 'country': 'US', 'state': 'CA', 'display_address': ['724 La Playa St', 'San Francisco, CA 94121']}","724 La Playa St, San Francisco, CA 94121",+14157026286
The Sandwich Place,4.5,309,"{'address1': '2029 Mission St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['2029 Mission St', 'San Francisco, CA 94110']}","2029 Mission St, San Francisco, CA 94110",+14154313811
Banh Mi House,4.5,244,"{'address1': '2701 San Bruno Ave', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94134', 'country': 'US', 'state': 'CA', 'display_address': ['2701 San Bruno Ave', 'San Francisco, CA 94134']}","2701 San Bruno Ave, San Francisco, CA 94134",+14157695556
Belly Good Cafe & Crepes,4.5,1414,"{'address1': '1737 Post St', 'address2': 'Ste 393', 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1737 Post St', 'Ste 393', 'San Francisco, CA 94115']}","1737 Post St, Ste 393, San Francisco, CA 94115",+14153468383
Gambino's New York Subs,4.5,62,"{'address1': '799 Battery St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['799 Battery St', 'San Francisco, CA 94111']}","799 Battery St, San Francisco, CA 94111",+14157570354
Bayshore Taqueria,4.5,272,"{'address1': '300 Bay Shore Blvd', 'address2': 'Unit A', 'address3': '', 'city': 'San Francisco', 'zip_code': '94124', 'country': 'US', 'state': 'CA', 'display_address': ['300 Bay Shore Blvd', 'Unit A', 'San Francisco, CA 94124']}","300 Bay Shore Blvd, Unit A, San Francisco, CA 94124",+14152851100
The Showdown,4.5,82,"{'address1': '1268 Grant Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['1268 Grant Ave', 'San Francisco, CA 94133']}","1268 Grant Ave, San Francisco, CA 94133",+14157720933
Columbus Burgers,4.5,42,"{'address1': '57 Columbus Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['57 Columbus Ave', 'San Francisco, CA 94111']}","57 Columbus Ave, San Francisco, CA 94111",+14156056181
Hi-Way Burger & Fry,4.5,48,"{'address1': '411 Columbus Ave', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['411 Columbus Ave', 'San Francisco, CA 94133']}","411 Columbus Ave, San Francisco, CA 94133",+14156587575
Sanguchon Eatery,4.5,125,"{'address1': '1182 Valencia St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['1182 Valencia St', 'San Francisco, CA 94110']}","1182 Valencia St, San Francisco, CA 94110",+14157664317
Turo Cafe and Grill,4.5,229,"{'address1': '2275 San Jose Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94112', 'country': 'US', 'state': 'CA', 'display_address': ['2275 San Jose Ave', 'San Francisco, CA 94112']}","2275 San Jose Ave, San Francisco, CA 94112",+14158255983
Basa Seafood Express,4.5,1002,"{'address1': '3064 24th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3064 24th St', 'San Francisco, CA 94110']}","3064 24th St, San Francisco, CA 94110",+14155502388
The Sandwich Boss,4.5,209,"{'address1': '600 Harrison St', 'address2': '', 'address3': 'Eden Plaza Cafe', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['600 Harrison St', 'Eden Plaza Cafe', 'San Francisco, CA 94107']}","600 Harrison St, Eden Plaza Cafe, San Francisco, CA 94107",+14157774709
Chisme Cantina,4.5,588,"{'address1': '882 Sutter St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['882 Sutter St', 'San Francisco, CA 94109']}","882 Sutter St, San Francisco, CA 94109",+14153707070
Portofino,4.5,283,"{'address1': '1318 Grant Ave', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['1318 Grant Ave', 'San Francisco, CA 94133']}","1318 Grant Ave, San Francisco, CA 94133",+14154005776
Seoul Hotdog,4.5,376,"{'address1': '2505 Hearst Ave', 'address2': 'Ste D', 'address3': None, 'city': 'Berkeley', 'zip_code': '94709', 'country': 'US', 'state': 'CA', 'display_address': ['2505 Hearst Ave', 'Ste D', 'Berkeley, CA 94709']}","2505 Hearst Ave, Ste D, Berkeley, CA 94709",+15107668182
Yonkers Cafe,4.5,293,"{'address1': '3815 Noriega St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['3815 Noriega St', 'San Francisco, CA 94122']}","3815 Noriega St, San Francisco, CA 94122",+14153794459
Lapisara Eatery,4.5,1399,"{'address1': '698 Post St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['698 Post St', 'San Francisco, CA 94109']}","698 Post St, San Francisco, CA 94109",+14156553556
Berliner Berliner,4.5,74,"{'address1': '545 Haight St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['545 Haight St', 'San Francisco, CA 94117']}","545 Haight St, San Francisco, CA 94117",+14157951457
WingSlut,4.5,43,"{'address1': '1355 Market St', 'address2': 'Ste 180', 'address3': None, 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['1355 Market St', 'Ste 180', 'San Francisco, CA 94103']}","1355 Market St, Ste 180, San Francisco, CA 94103",+14158811838
Hazel's Kitchen,4.5,445,"{'address1': '1319 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['1319 18th St', 'San Francisco, CA 94107']}","1319 18th St, San Francisco, CA 94107",+14156477941
JB's Place,4.5,229,"{'address1': '1435 17th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94107', 'country': 'US', 'state': 'CA', 'display_address': ['1435 17th St', 'San Francisco, CA 94107']}","1435 17th St, San Francisco, CA 94107",+14156267973
Sweet Maple,4.5,4656,"{'address1': '2101 Sutter St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['2101 Sutter St', 'San Francisco, CA 94115']}","2101 Sutter St, San Francisco, CA 94115",+14156559169
Hotbird,4.5,205,"{'address1': '1951 Telegraph Ave', 'address2': 'Ste 2', 'address3': '', 'city': 'Oakland', 'zip_code': '94612', 'country': 'US', 'state': 'CA', 'display_address': ['1951 Telegraph Ave', 'Ste 2', 'Oakland, CA 94612']}","1951 Telegraph Ave, Ste 2, Oakland, CA 94612",+15109221978
Mersea,4.5,1132,"{'address1': '699 Ave Of The Palms', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94130', 'country': 'US', 'state': 'CA', 'display_address': ['699 Ave Of The Palms', 'San Francisco, CA 94130']}","699 Ave Of The Palms, San Francisco, CA 94130",+14159999836
Good Luck Cafe and Deli,4.5,448,"{'address1': '621 Kearny St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['621 Kearny St', 'San Francisco, CA 94108']}","621 Kearny St, San Francisco, CA 94108",+14157812328
World Famous Hotboys,4.5,1647,"{'address1': '1601 San Pablo Ave', 'address2': '', 'address3': '', 'city': 'Oakland', 'zip_code': '94612', 'country': 'US', 'state': 'CA', 'display_address': ['1601 San Pablo Ave', 'Oakland, CA 94612']}","1601 San Pablo Ave, Oakland, CA 94612",
Bi-Rite Creamery,4.5,10102,"{'address1': '3692 18th St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3692 18th St', 'San Francisco, CA 94110']}","3692 18th St, San Francisco, CA 94110",+14156265600
Hana Hawaiian Barbeque,4.5,408,"{'address1': '482 San Mateo Ave', 'address2': None, 'address3': '', 'city': 'San Bruno', 'zip_code': '94066', 'country': 'US', 'state': 'CA', 'display_address': ['482 San Mateo Ave', 'San Bruno, CA 94066']}","482 San Mateo Ave, San Bruno, CA 94066",+16506348788
AK Subs,4.5,469,"{'address1': '397 8th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['397 8th St', 'San Francisco, CA 94103']}","397 8th St, San Francisco, CA 94103",+14152419600
Roxie Food Center,4.5,1152,"{'address1': '1901 San Jose Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94112', 'country': 'US', 'state': 'CA', 'display_address': ['1901 San Jose Ave', 'San Francisco, CA 94112']}","1901 San Jose Ave, San Francisco, CA 94112",+14155872345
Hook Fish,4.5,1015,"{'address1': '4542 Irving St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['4542 Irving St', 'San Francisco, CA 94122']}","4542 Irving St, San Francisco, CA 94122",
Tortas Los Picudos,4.5,351,"{'address1': '2969 24th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['2969 24th St', 'San Francisco, CA 94110']}","2969 24th St, San Francisco, CA 94110",+14158244199
San Pancho's Tacos,4.5,73,"{'address1': '491 Bayshore Blvd', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94124', 'country': 'US', 'state': 'CA', 'display_address': ['491 Bayshore Blvd', 'San Francisco, CA 94124']}","491 Bayshore Blvd, San Francisco, CA 94124",+14152751520
Little Lucca Specialty Sandwich Shop,4.5,3459,"{'address1': '724 El Camino Real', 'address2': '', 'address3': '', 'city': 'South San Francisco', 'zip_code': '94080', 'country': 'US', 'state': 'CA', 'display_address': ['724 El Camino Real', 'South San Francisco, CA 94080']}","724 El Camino Real, South San Francisco, CA 94080",+16505898916
Devil's Teeth Baking Company,4.5,2129,"{'address1': '3876 Noriega St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['3876 Noriega St', 'San Francisco, CA 94122']}","3876 Noriega St, San Francisco, CA 94122",+14156835533
